outcome_name;outcome_shortname;outcome_description;scale_name;scale_items;scale_description
"B2iCollège Référentiel :: Brevet informatique et Internet Collège – 2011";B2iCollège Référentiel;"Brevet Informatique et Internet Collège";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège Domaine 1 :: S'approprier un environnement informatique de travail";B2iCollège Domaine 1;"S'approprier un environnement informatique de travail";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège B2iCol1-1 :: Utiliser, gérer des espaces de stockage à disposition";B2iCollège B2iCol1-1;"Utiliser, gérer des espaces de stockage à disposition";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège B2iCol1-2 :: Utiliser les périphériques à disposition";B2iCollège B2iCol1-2;"Utiliser les périphériques à disposition";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège B2iCol1-3 :: Utiliser les logiciels et les services à disposition";B2iCollège B2iCol1-3;"Utiliser les logiciels et les services à disposition";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège Domaine 2 :: Adopter une attitude responsable";B2iCollège Domaine 2;"Adopter une attitude responsable";Competences;NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège B2iCol2-1 :: Connaître et respecter les règles élémentaires du droit relatif à sa pratique";B2iCollège B2iCol2-1;"Connaître et respecter les règles élémentaires du droit relatif à sa pratique";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège B2iCol2-2 :: Protéger sa personne et ses données";B2iCollège B2iCol2-2;"Protéger sa personne et ses données";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège B2iCol2-3 :: Faire preuve d'esprit critique face à l'information et à son traitement";B2iCollège B2iCol2-3;"Faire preuve d'esprit critique face à l'information et à son traitement";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège B2iCol2-4 :: Participer à des travaux collaboratifs en connaissant les enjeux (...)";B2iCollège B2iCol2-4;"Participer à des travaux collaboratifs en connaissant les enjeux et en respectant les règles";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège Domaine 3 :: Créer  produire  traiter  exploiter des données";B2iCollège Domaine 3;"Créer  produire  traiter  exploiter des données";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège B2iCol3-1 :: Saisir et mettre en page un texte";B2iCollège B2iCol3-1;"Saisir et mettre en page un texte";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège B2iCol3-2 :: Traiter une image, un son ou une vidéo";B2iCollège B2iCol3-2;"Traiter une image  un son ou une vidéo";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège B2iCol3-3 :: Organiser la composition du document, prévoir sa présentation (...)";B2iCollège B2iCol3-3 ;"Organiser la composition du document  prévoir sa présentation en fonction de sa destination";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège B2iCol3-4 :: Différencier une situation simulée ou modélisée d'une situation réelle";B2iCollège B2iCol3-4;"Différencier une situation simulée ou modélisée d'une situation réelle";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège Domaine 4 :: S'informer  se documenter";B2iCollège Domaine 4;"S'informer  se documenter";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège B2iCol4-1 :: Consulter des bases de données documentaires en mode simple (plein texte)";B2iCollège B2iCol4-1;"Consulter des bases de données documentaires en mode simple (plein texte)";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège B2iCol4-2 :: Identifier, trier et évaluer des ressources";B2iCollège B2iCol4-2;"Identifier  trier et évaluer des ressources";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège B2iCol4-3 :: Chercher et sélectionner l'information demandée";B2iCollège B2iCol4-3;"Chercher et sélectionner l'information demandée";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège Domaine 5 :: Communiquer, échanger";B2iCollège Domaine 5;"Communiquer, échanger";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège B2iCol5-1 :: Ecrire, envoyer, diffuser, publier";B2iCollège B2iCol5-1;"Ecrire envoyer diffuser publier";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège B2iCol5-2 :: Recevoir un commentaire, un message y compris avec des pièces jointes";B2iCollège B2iCol5-2;"Recevoir un commentaire un message y compris avec des pièces jointes";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
"B2iCollège B2iCol5-3 :: Exploiter les spécificités des différentes situations de communication (...)";B2iCollège B2iCol5-3;"Exploiter les spécificités des différentes situations de communication en temps réel et en temps différé";Competences;"NA, ECA, PA, A";"NA:Non acquis ECA:En cours d'a. PA:Presque a. A:acquis"
